"","longitude","latitude"
"1",-74.546188,40.593553
"2",-79.326374,43.63137
"3",-74.557322,40.592649
"4",-89.439733,37.583511
"5",-73.928081,40.790743
"6",-73.931124,40.790202
"7",-89.700596,39.711563
"8",-87.926204,41.689632
"9",-72.60083,41.990402
"10",-90.305298,38.709984
"11",-74.557322,40.592649
"12",-79.401167,43.721542
"13",-2.793611,53.322605
"14",-82.656361,36.203979
"15",-76.62578,39.599141
"16",-73.826355,40.616384
"17",-73.912871,40.897367
"18",-79.799355,43.20375
"19",-73.928983,40.790998
"20",-77.118267,39.066218
"21",-73.913134,40.898874
"22",-77.140323,39.075478
"23",-77.118677,39.064934
"24",-2.793673,53.324325
"25",-0.136313,51.540673
"26",-92.228997,38.590058
"27",-2.851218,53.379446
"28",-85.00595,35.897895
"29",-77.139499,39.074518
"30",-76.650086,39.34969
"31",-80.241675,43.184968
"32",-72.604523,41.682343
"33",-92.2309,38.588327
"34",-84.695686,39.292606
"35",-2.793164,53.322553
"36",-92.230287,38.590062
"37",-79.327344,43.629678
"38",-77.13851,39.073347
"39",-84.500594,39.154176
"40",-73.460075,40.681975
"41",-79.557463,40.704879
"42",5.723706,59.081274
"43",-89.017933,42.625151
"44",-89.231181,37.708629
"45",-89.23513,37.696337
"46",-72.605934,41.986092
"47",-72.607063,41.985535
"48",-73.926647,40.790519
"49",-71.257397,42.366847
"50",-72.604073,41.68119
"51",-73.956499,40.810027
"52",-81.277505,43.033941
"53",-92.229095,38.586895
"54",-85.5801,42.36342
"55",-73.860585,40.846735
"56",-74.252029,41.032234
"57",-73.971516,40.781398
"58",-74.722305,40.295494
"59",-80.769157,43.478092
"60",-73.944291,40.775036
"61",-74.173242,40.3492
"62",-81.579865,41.304134
"63",-74.728295,40.292145
"64",-79.637566,43.580472
"65",-74.007405,40.886029
"66",13.415,53.6485
"67",-74.496044,40.475191
"68",-80.752472,43.475838
"69",-84.50041,39.153948
"70",-74.425986,40.472516
"71",-82.276252,39.56228
"72",-76.38635,39.505385
"73",-77.068981,39.00193
"74",-74.721191,40.292629
"75",-73.947784,41.099807
"76",-74.171958,40.348142
"77",-73.893283,40.5806
"78",-80.708595,43.466656
"79",-73.943958,40.77479
"80",-77.04686,38.982105
"81",-74.31589,41.001826
"82",-80.585159,43.421284
"83",-74.563441,40.593871
"84",-89.37453,37.659175
"85",-80.174402,37.993853
"86",-74.614771,40.589448
"87",-88.914565,37.48911
"88",-74.172035,40.348202
"89",-74.171914,40.348251
"90",-74.614771,40.589448
"91",-79.949805,37.992325
"92",-86.60324,41.755184
"93",-74.173242,40.3492
"94",-80.682266,43.391376
"95",-85.712638,35.272169
"96",-80.723839,43.451618
"97",-80.157979,40.418822
"98",5.05,52.1
"99",17.081564,58.685973
"100",12.960426,57.708662
"101",5.42613,50.81471
"102",4.15,51.7
"103",-88.124921,41.374409
"104",7.005098,49.225075
"105",-80.412682,37.172261
"106",4.4,52.25
"107",11.959074,57.67977
"108",-73.927519,40.605933
"109",5.85,51.85
"110",-73.949028,40.768512
"111",18.041001,59.303041
"112",4.3,51.8
"113",-81.221934,42.954315
"114",-77.122028,38.827665
"115",4.4,52.15
"116",16.416344,56.581052
"117",6.5,52.1
"118",4.35,51.85
"119",4.75,51.85
"120",5.42491,50.76078
"121",6.05,52.45
"122",17.596505,59.804378
"123",9.812061,52.27562
"124",3.89046,43.6338
"125",5.7,52
"126",-74.851613,40.756344
"127",4.95,52.45
"128",5.43888,50.75167
"129",5.9,51.95
"130",-79.963035,39.595611
"131",5.9,51.7
"132",6.5,53.2
"133",3.85,51.3
"134",16.35389,48.25861
"135",6.45,52.7
"136",4.3,52.1
"137",16.60658,56.54417
"138",-74.541206,40.762796
"139",-74.445505,40.607942
"140",4.35,51.95
"141",9.852271,51.997944
"142",4.55,51.85
"143",3.85,51.3
"144",5.11527,50.89801
"145",17.664005,59.805327
"146",5.42431,50.73382
"147",5.85,51.8
"148",6.55,53.2
"149",-74.40156,40.63703
"150",-88.940785,43.059795
"151",11.272105,58.654776
"152",3.5,51.45
"153",6.5,53.2
"154",5.65,52.05
"155",-88.166225,41.350577
"156",-74.445505,40.607942
"157",5.9,51.95
"158",6.15,52
"159",4.4,52.2
"160",8.556223,49.503319
"161",4.05,51.85
"162",6.1,51.5
"163",3.85,51.25
"164",5.65,51.95
"165",4.7,52.6
"166",-88.143929,41.329121
"167",6.2,52.15
"168",5.24556,51.02297
"169",-74.491725,40.617153
"170",4.3,52.1
"171",5.7,51.75
"172",6.05,52.45
"173",-74.201918,40.171004
"174",5.25964,51.01387
"175",-74.646184,40.664528
"176",6.1,53.25
"177",5.33951,50.74354
"178",5.8,51.75
"179",3.45,51.5
"180",5.9,51.95
"181",-74.57372,40.609053
"182",5.35,52.1
"183",4.4,52.15
"184",-74.418554,40.725015
"185",5.5,52
"186",3.85,51.25
"187",4.95,51.55
"188",10.422598,45.13544
"189",8.785805,49.249855
"190",-74.537945,40.774822
"191",6.3,51.95
"192",4.45,51.95
"193",-77.154424,38.887334
"194",5.65,50.8
"195",4.9,52.5
"196",-5.68067,37.955765
"197",5.85,51.8
"198",5.65,50.8
"199",5.35576,50.8423
"200",-79.868889,39.695
"201",8.651544,44.792076
"202",4.1,51.95
"203",-74.467392,40.79682
"204",5.85,51.85
"205",-0.29045,51.479708
"206",-73.063439,40.933994
"207",-76.638353,39.553725
"208",5.85,51.95
"209",6.65,53.05
"210",-87.891087,41.71824
"211",-73.968094,40.804787
"212",4.25,52.05
"213",5.9,51.7
"214",5.37015,50.85117
"215",-74.434819,40.691475
"216",4.95,52.45
"217",-76.248017,39.779842
"218",6.35,51.95
"219",6.4,53.05
"220",-74.866156,40.580071
"221",-75.006344,40.030417
"222",4.2,52.05
"223",-88.427605,41.863134
"224",-74.535198,40.606459
"225",-81.455394,41.568969
"226",5.9,51.95
"227",6.5,53.2
"228",-73.549064,40.664661
"229",-74.671497,40.494416
"230",-76.479042,42.46375
"231",5.9,52
"232",-73.9495,40.768244
"233",4.05,51.7
"234",5.22634,50.75341
"235",5.54098,50.86757
"236",-76.476521,42.461074
"237",-74.526014,40.558091
"238",6.3,51.95
"239",5.9,52
"240",-74.849811,40.541624
"241",5.85,50.8
"242",4.65,51.8
"243",-77.066775,39.004095
"244",4.4,51.8
"245",-76.914695,38.918728
"246",-80.346783,43.310476
"247",-74.577985,40.61203
"248",5.42471,50.75179
"249",5.75,50.8
"250",7.014738,49.22308
"251",-3.95,40.41
"252",6.05,52.45
"253",-73.930681,40.871319
"254",-85.361696,42.403616
"255",-84.292632,37.564884
"256",-71.257732,42.366881
"257",-72.867765,41.398799
"258",5.9,51.7
"259",5.54075,50.85858
"260",5.75,50.75
"261",5.48117,50.74228
"262",5.9,52
"263",-83.840717,42.542143
"264",6.7,53.35
"265",-77.115526,38.862191
"266",16.523692,56.637728
"267",-81.881309,41.409919
"268",-84.014275,42.445454
"269",-73.904664,40.594217
"270",-80.355215,43.308943
"271",-71.135037,42.402608
"272",5.57833,50.64716
"273",-77.0914,38.90247
"274",-73.927558,40.605972
"275",-73.96668,40.874312
"276",6.6,53.2
"277",-87.582139,41.783685
"278",-74.249897,40.704229
"279",-76.648888,39.322383
"280",4.35,52
"281",5.05,52.85
"282",5.327,50.82456
"283",-74.67701,40.368115
"284",17.905777,59.369751
"285",6.05,52.45
"286",-73.824063,40.839836
"287",-74.63856,40.550722
"288",5.25,52.05
"289",-73.754943,40.758953
"290",3.627151,50.873169
"291",-73.923742,40.792846
"292",10.83252,53.916321
"293",-73.758069,40.760534
"294",5.65,51.95
"295",4.85,51.55
"296",-80.484388,42.661263
"297",-74.554167,40.589026
"298",-80.341483,43.308457
"299",5.7,50.8
"300",9.844043,52.370876
"301",9.290185,48.879787
"302",5.24185,50.82522
"303",18.152149,59.316943
"304",-77.096188,39.026718
"305",-71.260268,42.368598
"306",9.854345,52.369797
"307",-88.911137,37.388012
"308",12.234586,51.849621
"309",-73.761335,41.068931
"310",-73.758881,40.759818
"311",8.597145,49.21928
"312",5.75,51.95
"313",-80.119302,40.274882
"314",5.35,52.15
"315",5.65,51.95
"316",-74.226209,40.540844
"317",5.3,51.65
"318",6.75,53.3
"319",5.55,52.1
"320",-73.820783,40.848768
"321",10.692798,53.902832
"322",-79.589617,42.520293
"323",4.6,51.8
"324",-73.923351,40.792626
"325",9.851514,52.369354
"326",9.465859,48.941906
"327",-1.78399,42.35927
"328",10.684032,53.89946
"329",-76.847659,39.191106
"330",10.828657,53.913769
"331",10.679251,53.526634
"332",-74.418148,40.476057
"333",-71.254975,42.366937
"334",5.689309,58.957692
"335",-79.106167,42.609617
"336",9.293833,48.882442
"337",6.6,53.05
"338",-80.801568,43.383355
"339",5.85,51.95
"340",5.65,51.95
"341",37.435247,44.808996
"342",-92.230888,38.589803
"343",-74.225846,40.538078
"344",-76.472175,42.452055
"345",-71.255158,42.36833
"346",4.9,51.8
"347",9.892962,51.984489
"348",10.731325,53.841843
"349",11.445447,44.661553
"350",-88.368666,40.206422
"351",-73.923574,40.793033
"352",-73.923066,40.791897
"353",-73.754963,40.75892
"354",10.824087,53.903744
"355",8.907829,49.988293
"356",5.85,51.85
"357",4.4,52
"358",-74.377699,40.689099
"359",-77.121069,38.919056
"360",-74.536057,40.598639
"361",-83.887978,39.387539
"362",-78.630187,38.095611
"363",5.42654,50.83269
"364",18.155132,59.321989
"365",-73.974501,40.80069
"366",9.847313,51.995327
"367",4.05,51.8
"368",5.5,52.1
"369",10.663261,53.894829
"370",-74.225602,40.540673
"371",-71.258313,42.368972
"372",4.85,51.6
"373",-74.608111,40.588309
"374",3.7,51.3
"375",5.75,51.95
"376",-88.930807,37.393886
"377",5.75441,45.14985
"378",-73.791462,40.871799
"379",-122.780072,45.470056
"380",5.75,51.95
"381",5.2,52.05
"382",5.9,51.95
"383",6.85,53.35
"384",-73.991655,40.698404
"385",-87.833687,42.281998
"386",-74.618046,40.571213
"387",4.35,52.15
"388",-74.532795,40.602028
"389",-79.806367,43.207231
"390",-87.597455,41.571128
"391",-76.840402,39.182123
"392",4.9,51.8
"393",-73.972682,40.691627
"394",-77.451441,37.530024
"395",-2.436932,51.379928
"396",5.25,51.7
"397",-76.837258,39.18482
"398",5.65,51.95
"399",9.855945,52.000893
"400",-81.597267,41.314133
"401",0.63229,44.13877
"402",5.65,51.95
"403",-74.593216,40.661416
"404",10.002328,58.974582
"405",-73.949548,40.816815
"406",-71.257555,42.366858
"407",-74.284497,40.629392
"408",-74.428983,40.489532
"409",-81.087073,43.086575
"410",-71.127769,42.2268
"411",5.9,51.8
"412",6.2,52.15
"413",4.1,51.7
"414",6.1,53.3
"415",11.399575,44.607726
"416",2.53,42.27
"417",-71.257389,42.367005
"418",-76.637183,39.32522
"419",-71.254874,42.366122
"420",-73.879364,40.817732
"421",5.65,51.95
"422",5.5,52.2
"423",-73.786111,40.877538
"424",-71.264282,42.365641
"425",-80.113699,40.623743
"426",9.850918,52.000973
"427",9.796056,51.941219
"428",5.05,52.1
"429",5.7,51.95
"430",4.25,52.05
"431",4.2,51.9
"432",4.2,51.9
"433",-79.625878,43.481595
"434",-86.52669,34.746902
"435",4.3,52.05
"436",6.85,53.35
"437",-79.849042,43.314779
"438",-71.254983,42.366894
"439",-73.756136,40.759495
"440",8.681645,50.189732
"441",5,52.5
"442",5.65,51.95
"443",-74.56275,40.588276
"444",9.748036,52.404984
"445",-93.730788,41.619525
"446",4.31241,45.6204
"447",5.1,51.55
"448",6.1,51.5
"449",4.95,52.5
"450",4.3,52
"451",7.028471,49.214811
"452",8.508267,49.365115
"453",10.427136,45.223468
"454",-73.102967,40.932328
"455",9.271774,48.899315
"456",10.84651,53.933479
"457",9.862684,52.004707
"458",5.65,51.95
"459",6.35,51.9
"460",-74.535027,40.604569
"461",-79.844853,43.302198
"462",8.94128,44.577354
"463",4.1,51.7
"464",10.715446,53.920998
"465",-73.872752,40.815477
"466",-73.757987,40.760982
"467",5,51.55
"468",6.3,51.9
"469",4.25,52
"470",4.85,52.05
"471",4.45,51.85
"472",-122.625708,45.463323
"473",5.75,51.75
"474",-111.856443,40.730447
"475",9.848939,52.364632
"476",6.2,52.1
"477",-74.578156,40.624784
"478",-79.611855,43.51805
"479",-76.851236,39.190208
"480",-73.949399,40.768261
"481",4.95,52.5
"482",-73.760906,40.758915
"483",11.7,48.29
"484",6.9511,49.21673
"485",-81.593223,41.492615
"486",7.208791,51.425465
"487",10.567646,52.949051
"488",-80.368477,40.515034
"489",3.42917,43.63039
"490",-71.324878,42.409108
"491",-90.338572,38.534078
"492",-81.479424,41.21719
"493",-91.056648,38.784462
"494",-77.121056,38.919061
"495",-70.927094,42.213606
"496",-73.923794,40.791205
"497",-71.144913,42.389603
"498",8.681754,51.492405
"499",-81.870963,41.434587
"500",-73.971275,40.782047
