Species,POINT_X,POINT_Y
bias,-73.457,41.2572
bias,-72.3024,41.8882
bias,-72.3034,41.8855
bias,-72.303,41.8861
bias,-72.1754,41.76475
bias,-72.17715,41.76592
bias,-72.17661,41.76694
bias,-72.17537,41.76725
bias,-72.17694,41.76471
bias,-72.18341,41.77236
bias,-72.18411,41.77045
bias,-72.18228,41.76991
bias,-72.18793,41.77279
bias,-72.18769,41.77347
bias,-72.19496,41.77806
bias,-72.195,41.77781
bias,-72.21852,41.80947
bias,-72.21811,41.80718
bias,-72.21683,41.80569
bias,-72.2154,41.80418
bias,-72.21527,41.80405
bias,-72.21158,41.8004
bias,-72.20969,41.79756
bias,-72.21048,41.79439
bias,-72.21449,41.79312
bias,-72.21532,41.79543
bias,-72.12776,41.8151
bias,-72.12787,41.81478
bias,-72.13154,41.81508
bias,-72.13267,41.81435
bias,-72.13429,41.81334
bias,-72.13987,41.81004
bias,-72.14333,41.80426
bias,-72.14237,41.80139
bias,-72.1344,41.79739
bias,-72.13132,41.79732
bias,-72.12885,41.79827
bias,-72.12743,41.7983
bias,-72.19775,41.83423
bias,-72.19715,41.83412
bias,-72.09403,41.78617
bias,-72.09591,41.78648
bias,-72.09583,41.78703
bias,-72.10149,41.79062
bias,-72.09676,41.79459
bias,-72.09723,41.79722
bias,-72.09752,41.79679
bias,-72.09854,41.79681
bias,-72.0982,41.79975
bias,-72.10065,41.80149
bias,-72.09777,41.80214
bias,-72.09588,41.80198
bias,-72.08835,41.79581
bias,-72.08897,41.79361
bias,-72.08985,41.79203
bias,-72.08994,41.79099
bias,-72.09794,41.79911
bias,-72.09652,41.8012
bias,-72.08793,41.77709
bias,-72.08828,41.77616
bias,-72.0892,41.77515
bias,-72.08972,41.77553
bias,-72.08996,41.77712
bias,-72.09179,41.7792
bias,-72.10586,41.80053
bias,-72.10593,41.79788
bias,-72.10523,41.79949
bias,-72.1086,41.80003
bias,-72.10757,41.79446
bias,-72.07723,41.77672
bias,-72.07852,41.77746
bias,-72.07863,41.77802
bias,-72.07925,41.77836
bias,-72.07912,41.77904
bias,-72.08162,41.78255
bias,-72.08059,41.7865
bias,-72.08185,41.79022
bias,-72.08405,41.79118
bias,-72.07944,41.79162
bias,-72.07913,41.79183
bias,-72.07771,41.78988
bias,-72.05915,41.8233
bias,-72.05994,41.82287
bias,-72.05739,41.8238
bias,-72.0572,41.82
bias,-72.0566,41.81995
bias,-72.06255,41.8254
bias,-72.05813,41.83057
bias,-72.05561,41.83398
bias,-72.05592,41.83407
bias,-72.15118,41.78182
bias,-72.14944,41.78157
