"Provider","Year","Days","Longitude","Latitude","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","sample_7","sample_8","sample_9","sample_10","Species","X","Y","Tapir","Cat","OnTrail","Presence"
"Angelica Diaz-Pulido",2014,37,-77.17096226,3.93277145,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8590632.22281013,434531.087060366,0,0,0,0
"Angelica Diaz-Pulido",2014,37,-77.16429002,3.92634362,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8589889.47245088,433821.960763181,0,0,0,0
"Angelica Diaz-Pulido",2014,37,-77.15909785,3.921581442,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8589311.48273037,433296.587863589,0,0,0,0
"Angelica Diaz-Pulido",2014,37,-77.1577958,3.929897631,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8589166.53918738,434214.044388077,0,0,0,0
"Angelica Diaz-Pulido",2014,33,-77.17818989,3.940117517,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8591436.79890137,435341.507900358,0,0,0,0
"Angelica Diaz-Pulido",2014,35,-77.18295417,3.938916726,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8591967.15612497,435209.03666715,0,0,0,0
"Angelica Diaz-Pulido",2014,35,-77.19150798,3.939667074,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8592919.36189851,435291.815061631,0,0,0,0
"Angelica Diaz-Pulido",2014,34,-77.19786549,3.946651546,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8593627.07667443,436062.338553482,0,0,0,0
"Angelica Diaz-Pulido",2014,34,-77.19421785,3.931407211,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8593221.02324703,434380.58294126,0,0,0,0
"Angelica Diaz-Pulido",2014,34,-77.20108062,3.935702769,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8593984.98330886,434854.472095633,0,0,0,0
"Angelica Diaz-Pulido",2014,34,-77.21879904,3.929706104,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8595957.38880092,434192.91489435,0,0,0,0
"Angelica Diaz-Pulido",2014,34,-77.21028848,3.92968188,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8595009.99759536,434190.242472598,0,0,0,0
"Angelica Diaz-Pulido",2014,34,-77.16833831,3.941422245,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8590340.12603226,435485.445249824,0,0,0,0
"Angelica Diaz-Pulido",2014,30,-77.16558703,3.949863994,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8590033.85494363,436416.732108792,0,0,0,0
"Angelica Diaz-Pulido",2014,33,-77.20534517,3.95414589,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8594459.71084332,436889.103856571,0,0,0,0
"Angelica Diaz-Pulido",2014,33,-77.20020823,3.961334797,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8593887.86929829,437682.166950135,0,0,0,0
"Angelica Diaz-Pulido",2014,32,-77.19014953,3.959853379,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8592768.13993624,437518.74099392,0,0,0,0
"Angelica Diaz-Pulido",2014,33,-77.20703026,3.970595375,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8594647.29420406,438703.761966559,0,0,0,0
"Angelica Diaz-Pulido",2014,31,-77.26991097,3.95093252,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8601647.14282198,436534.610367827,0,0,0,0
"Angelica Diaz-Pulido",2014,30,-77.22770724,3.966171741,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8596949.04508881,438215.763315063,0,0,0,0
"Angelica Diaz-Pulido",2014,47,-77.25611268,3.53611297,0,0,0,0,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8600111.12420537,390761.592808728,0,0,0,0
"Angelica Diaz-Pulido",2014,47,-77.24752458,3.536315393,0,0,0,0,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8599155.10128648,390783.934106792,0,0,0,0
"Angelica Diaz-Pulido",2014,47,-77.26252668,3.52903286,0,0,0,0,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8600825.12741931,389980.162575482,0,0,0,0
"Angelica Diaz-Pulido",2014,46,-77.26389578,3.541174885,0,0,0,0,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8600977.53493416,391320.27172967,0,0,0,0
"Angelica Diaz-Pulido",2014,46,-77.25234292,3.526540501,0,0,0,0,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8599691.47644175,389705.080063367,0,0,0,0
"Angelica Diaz-Pulido",2014,46,-77.25178476,3.508987455,0,0,0,0,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8599629.34235477,387767.724095716,0,0,0,0
"Angelica Diaz-Pulido",2014,46,-77.24447843,3.502379078,0,0,0,0,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8598816.0054196,387038.338443768,0,0,0,0
"Angelica Diaz-Pulido",2014,46,-77.26568749,3.517792979,0,0,0,0,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8601176.98717901,388739.607402406,0,0,0,0
"Angelica Diaz-Pulido",2014,43,-77.26694511,3.507583234,0,0,0,0,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8601316.98479702,387612.736588873,0,0,0,0
"Angelica Diaz-Pulido",2014,41,-77.27257247,3.526149066,0,0,0,0,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8601943.41964673,389661.877183803,0,0,0,0
"Angelica Diaz-Pulido",2014,49,-77.25901944,3.502055369,0,0,0,0,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8600434.70324842,387002.609617858,0,0,0,0
"Angelica Diaz-Pulido",2014,45,-77.26801414,3.495466355,0,0,0,0,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8601435.98867226,386275.355882087,0,0,0,0
"Angelica Diaz-Pulido",2014,45,-77.26458636,3.487085123,0,0,0,0,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8601054.40994811,385350.281262945,0,0,0,0
"Angelica Diaz-Pulido",2014,45,-77.27743607,3.495577415,0,0,0,0,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8602484.83312215,386287.614024434,0,0,0,0
"Angelica Diaz-Pulido",2014,45,-77.25323475,3.496229528,0,0,0,0,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8599790.75450323,386359.59035087,0,0,0,0
"Angelica Diaz-Pulido",2014,44,-77.26682031,3.549597608,0,0,0,0,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8601303.09212457,392249.873359374,0,0,0,0
"Angelica Diaz-Pulido",2014,44,-77.2408287,3.52290242,0,0,0,0,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8598409.71933447,389303.542535304,0,0,0,0
"Angelica Diaz-Pulido",2014,44,-77.23276681,3.518382143,0,0,0,0,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8597512.27384484,388804.634293464,0,0,0,0
"Angelica Diaz-Pulido",2014,41,-76.86197807,5.11716681,0,0,0,0,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8556236.26011616,565095.155155753,0,0,0,0
"Angelica Diaz-Pulido",2014,41,-76.8693953,5.11109621,0,0,0,0,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8557061.94238286,564426.504004998,0,0,0,0
"Angelica Diaz-Pulido",2014,38,-76.87661304,5.11617715,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8557865.41752433,564986.148675113,0,0,0,0
"Angelica Diaz-Pulido",2014,38,-76.88397436,5.11186257,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8558684.8759183,564510.915687861,0,0,0,0
"Angelica Diaz-Pulido",2014,37,-76.88219162,5.10522955,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8558486.42220929,563780.310129637,0,0,0,0
"Angelica Diaz-Pulido",2014,37,-76.88334664,5.12089776,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8558614.99844754,565506.100599863,0,0,0,0
"Angelica Diaz-Pulido",2014,37,-76.88983985,5.12680893,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8559337.81927836,566157.181570597,0,0,0,0
"Angelica Diaz-Pulido",2014,37,-76.89057,5.13342887,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8559419.09920456,566886.322467513,0,0,0,0
"Angelica Diaz-Pulido",2014,37,-76.88286393,5.13101622,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Tapirus bairdii",-8558561.26341614,566620.586503131,0,0,0,0
