"Longitude","Latitude","X","Y","species"
-89.689961,17.90741,-9984240.78778857,1948841.29956691,"Tapirus bairdii"
-89.322386,18.643769,-9943322.52596023,2026258.02195815,"Tapirus bairdii"
-90.941068,16.112573,-10123513.3819565,1758850.49454747,"Tapirus bairdii"
-88.92516,19.32211,-9899103.52991038,2097286.04399507,"Tapirus bairdii"
-88.95,19.33014,-9901868.70606168,2098125.15176589,"Tapirus bairdii"
-89.07397,19.32437,-9915668.98333533,2097522.21040233,"Tapirus bairdii"
-95.76497,16.91013,-10660507.6962331,1843494.0023792,"Tapirus bairdii"
-95.76804,16.91608,-10660849.4470699,1844124.176368,"Tapirus bairdii"
-95.85864,17.20006,-10670934.9929357,1874178.25452232,"Tapirus bairdii"
-95.79919,17.20518,-10664317.0492081,1874719.7023426,"Tapirus bairdii"
-95.83028,17.20526,-10667777.9721768,1874728.16234883,"Tapirus bairdii"
-95.84481,17.20571,-10669395.4443781,1874775.74981741,"Tapirus bairdii"
-95.85102,17.21155,-10670086.7384159,1875393.3191679,"Tapirus bairdii"
-89.37764,17.8996,-9949473.37310452,1948018.49230319,"Tapirus bairdii"
-83.68333,12.62916,-9315585.68348547,1385475.3878224,"Tapirus bairdii"
-83.75075,12.43756,-9323090.84355476,1364781.18706693,"Tapirus bairdii"
-83.64604,12.69511,-9311434.57967379,1392594.98708307,"Tapirus bairdii"
-83.6867,12.74376,-9315960.83016945,1397845.82112052,"Tapirus bairdii"
-83.918,11.37455,-9341709.02838993,1249704.31967728,"Tapirus bairdii"
-83.94331,11.29486,-9344526.52470191,1241060.05078182,"Tapirus bairdii"
-83.96161,11.26359,-9346563.67138343,1237667.43819265,"Tapirus bairdii"
-83.94334,11.29486,-9344529.86428663,1241060.05078182,"Tapirus bairdii"
-83.98658,11.31158,-9349343.31906853,1242873.92549429,"Tapirus bairdii"
-83.64611,12.69505,-9311442.37203815,1392588.5106292,"Tapirus bairdii"
-83.65967,12.69168,-9312951.86433331,1392224.74741307,"Tapirus bairdii"
-83.74207,12.37335,-9322124.59037467,1357842.69789959,"Tapirus bairdii"
-83.76244,12.33421,-9324392.16840213,1353612.43989933,"Tapirus bairdii"
-83.74777,12.42397,-9322759.11147219,1363312.79997512,"Tapirus bairdii"
-83.75333,12.3972,-9323378.047841,1360420.10728761,"Tapirus bairdii"
-83.6329,12.9278,-9309971.84156477,1417700.48782847,"Tapirus bairdii"
-83.58642,12.97986,-9304797.7116327,1423314.26370981,"Tapirus bairdii"
-83.63052,12.94593,-9309706.90117668,1419655.62633922,"Tapirus bairdii"
-83.62107,12.97444,-9308654.93198869,1422729.8632539,"Tapirus bairdii"
-83.59524,12.96859,-9305779.5495415,1422099.08499493,"Tapirus bairdii"
-83.6025,12.92846,-9306587.72904465,1417771.66463196,"Tapirus bairdii"
-83.76241,12.33421,-9324388.82881741,1353612.43989933,"Tapirus bairdii"
-83.59518,12.9686,-9305772.87037205,1422100.1632607,"Tapirus bairdii"
-83.62125,12.97487,-9308674.96949703,1422776.22758111,"Tapirus bairdii"
-83.99189,11.31112,-9349934.42556465,1242824.02362184,"Tapirus bairdii"
-83.92181,11.36992,-9342133.15564985,1249202.15077181,"Tapirus bairdii"
-83.88449,11.39503,-9337978.71225345,1251925.48107997,"Tapirus bairdii"
-83.87299,11.40139,-9336698.53810933,1252615.22410277,"Tapirus bairdii"
-83.6829,11.6163,-9315537.81610443,1275913.35283698,"Tapirus bairdii"
-83.78334,12.55998,-9326718.74575971,1378005.17250673,"Tapirus bairdii"
-83.79803,12.50977,-9328354.02907946,1372582.15419348,"Tapirus bairdii"
-83.87278,11.40138,-9336675.16101626,1252614.13961297,"Tapirus bairdii"
-83.68341,12.62911,-9315594.58904474,1385469.98941734,"Tapirus bairdii"
-83.68024,12.6271,-9315241.70625892,1385252.97268257,"Tapirus bairdii"
-83.67794,12.62828,-9314985.6714301,1385380.37574326,"Tapirus bairdii"
-83.79803,12.50989,-9328354.02907946,1372595.11622869,"Tapirus bairdii"
-83.68687,12.74371,-9315979.75448288,1397840.42508365,"Tapirus bairdii"
-83.58248,12.93053,-9304359.11283897,1417994.89978038,"Tapirus bairdii"
-83.92934,11.379,-9342971.39141553,1250186.95832204,"Tapirus bairdii"
-83.87331,11.40012,-9336734.16034638,1252477.49360023,"Tapirus bairdii"
-83.67658,12.62702,-9314834.27692262,1385244.3351662,"Tapirus bairdii"
-83.84647,12.42326,-9333746.34521349,1363236.08306747,"Tapirus bairdii"
-83.67986,12.62865,-9315199.40485242,1385420.32404263,"Tapirus bairdii"
-83.84475,12.42335,-9333554.87568932,1363245.80775719,"Tapirus bairdii"
-83.86351,11.41685,-9335643.22933661,1254291.80084844,"Tapirus bairdii"
-83.84054,12.42279,-9333086.22063309,1363185.29852338,"Tapirus bairdii"
-83.62376,12.93399,-9308954.38141892,1418368.03276258,"Tapirus bairdii"
-83.86084,11.41363,-9335346.00629619,1253942.61173242,"Tapirus bairdii"
-83.88332,11.41166,-9337848.46844922,1253728.97549428,"Tapirus bairdii"
-83.87252,11.41018,-9336646.21794865,1253568.47625343,"Tapirus bairdii"
-83.78298,12.52349,-9326678.67074302,1374064.10884332,"Tapirus bairdii"
-83.61468,12.92619,-9307943.60044252,1417526.85879599,"Tapirus bairdii"
-83.58248,12.92906,-9304359.11283897,1417836.37065779,"Tapirus bairdii"
-83.63291,12.92595,-9309972.95475968,1417500.97611384,"Tapirus bairdii"
-83.719,12.63657,-9319556.44972207,1386275.42007634,"Tapirus bairdii"
-83.88273,11.40756,-9337782.78994965,1253284.34722015,"Tapirus bairdii"
-83.6786,12.62832,-9315059.14229402,1385384.69448104,"Tapirus bairdii"
-83.78298,12.42566,-9326678.67074302,1363495.40700467,"Tapirus bairdii"
-83.64102,12.93205,-9310875.75583001,1418158.820093,"Tapirus bairdii"
-83.62469,12.96732,-9309057.90854536,1421962.14489897,"Tapirus bairdii"
-83.62808,12.94276,-9309435.28161915,1419313.78365204,"Tapirus bairdii"
-83.63569,12.92595,-9310282.42294408,1417500.97611384,"Tapirus bairdii"
-83.64102,12.9283,-9310875.75583001,1417754.40966614,"Tapirus bairdii"
-83.63823,12.92794,-9310565.1744507,1417715.58595362,"Tapirus bairdii"
-83.62885,12.94335,-9309520.99762706,1419377.4076907,"Tapirus bairdii"
-83.62698,12.94125,-9309312.83017927,1419150.94857967,"Tapirus bairdii"
-83.74788,12.424,-9322771.35661618,1363316.0415301,"Tapirus bairdii"
-83.74877,12.41883,-9322870.43096299,1362757.40817601,"Tapirus bairdii"
-83.76236,12.33429,-9324383.26284287,1353621.08694191,"Tapirus bairdii"
-83.67689,12.62447,-9314868.78596476,1384969.01295238,"Tapirus bairdii"
-83.6465,12.69491,-9311485.78663956,1392573.39889769,"Tapirus bairdii"
-83.69823,12.62078,-9317244.34389829,1384570.60077849,"Tapirus bairdii"
-83.9864,11.30716,-9349323.28156019,1242394.43036077,"Tapirus bairdii"
-83.84693,12.42411,-9333797.55217925,1363327.92722859,"Tapirus bairdii"
-83.9864,11.31126,-9349323.28156019,1242839.2111565,"Tapirus bairdii"
-83.65998,12.69211,-9312986.37337545,1392271.16256552,"Tapirus bairdii"
-83.9418,11.29282,-9344358.43227081,1240838.7336561,"Tapirus bairdii"
-83.72157,12.63796,-9319842.54081341,1386425.49108556,"Tapirus bairdii"
-83.76283,12.38551,-9324435.58300354,1359156.82713753,"Tapirus bairdii"
-83.9854,11.30931,-9349211.9620694,1242627.66984403,"Tapirus bairdii"
-83.8603,11.41308,-9335285.89377116,1253882.96724277,"Tapirus bairdii"
-83.79263,12.56654,-9327752.90382918,1378713.62059499,"Tapirus bairdii"
-83.8699,11.42448,-9336354.56088278,1255119.21181641,"Tapirus bairdii"
-83.7179,11.58072,-9319433.9982822,1272057.36873168,"Tapirus bairdii"
-83.94331,11.29485,-9344526.52470191,1241058.96589769,"Tapirus bairdii"
-83.68034,12.62716,-9315252.838208,1385259.45081812,"Tapirus bairdii"
-83.78336,12.5587,-9326720.97214953,1377866.93667981,"Tapirus bairdii"
-83.64546,12.69524,-9311370.01436913,1392609.0193947,"Tapirus bairdii"
-83.89888,11.40521,-9339580.59972597,1253029.49648691,"Tapirus bairdii"
-83.5907,12.92891,-9305274.15905329,1417820.19416555,"Tapirus bairdii"
-83.78159,12.56061,-9326523.93665082,1378073.2102066,"Tapirus bairdii"
-83.65981,12.69179,-9312967.44906202,1392236.621064,"Tapirus bairdii"
-83.6239,12.93503,-9308969.96614763,1418480.18735537,"Tapirus bairdii"
-83.79635,12.50803,-9328167.01233493,1372394.20402342,"Tapirus bairdii"
-83.65693,11.61336,-9312646.84892853,1275594.74836027,"Tapirus bairdii"
-83.65688,11.6133,-9312641.28295399,1275588.246194,"Tapirus bairdii"
