"","X","Route.Point","detN","site","POINT","WMA","grass250m","grass500m","grass1km","grass1.5km","grass2km","grass2.5km","grass3km","grass3.5m","grass4km","grass4.5km","grass5km","trees250m","trees500m","trees1km","trees1.5km","trees2km","trees2.5km","trees3km","trees3.5km","trees4km","trees4.5km","trees5km","Occur"
"1",1,"ALEX.1.1",1,"ALEX.1",1,"ALEX",0.667984,0.591565,0.59669,0.569535,0.536417,0.537794,0.494605,0.455085,0.451783,0.441321,0.427544,0.158103,0.0865705,0.122483,0.103505,0.0727635,0.0870646,0.116275,0.127452,0.132728,0.128535,0.133371,1
"2",2,"ALEX.2.2",0,"ALEX.2",2,"ALEX",0.826087,0.735849,0.665931,0.61109,0.606836,0.559346,0.503613,0.468277,0.43696,0.424258,0.419588,0.15415,0.210877,0.16,0.134608,0.137284,0.126869,0.125983,0.127289,0.13849,0.138524,0.133075,0
"3",3,"ALEX.3.3",1,"ALEX.3",3,"ALEX",0.604743,0.592675,0.566345,0.565201,0.602075,0.571454,0.496196,0.46958,0.443538,0.429097,0.426711,0.312253,0.316315,0.17131,0.142001,0.138421,0.140243,0.138269,0.134315,0.14693,0.145173,0.140209,1
"4",4,"ALEX.4.4",2,"ALEX.4",4,"ALEX",0.972332,0.90677,0.840552,0.707202,0.56413,0.509737,0.488748,0.470301,0.441694,0.411355,0.400913,0.0237154,0.0499445,0.0471724,0.0599108,0.0763163,0.0965978,0.111691,0.107815,0.102693,0.105035,0.112768,1
"5",5,"ALEX.5.5",1,"ALEX.5",5,"ALEX",0.826087,0.826859,0.796966,0.647419,0.565409,0.516333,0.490944,0.471115,0.443255,0.420976,0.406392,0,0.0188679,0.0430345,0.0513703,0.0638101,0.0945647,0.104179,0.105093,0.103066,0.104441,0.109218,1
"6",6,"ALEX.6.6",0,"ALEX.6",6,"ALEX",0.762846,0.839068,0.845517,0.739962,0.587366,0.502056,0.495783,0.471534,0.424071,0.407564,0.400388,0.0988142,0.0566038,0.0656552,0.122243,0.116606,0.119369,0.104657,0.111817,0.11654,0.119848,0.121306,0
"7",7,"ALEX.7.7",2,"ALEX.7",7,"ALEX",0.86166,0.841287,0.743172,0.681198,0.569601,0.520896,0.509979,0.469417,0.440577,0.422928,0.414531,0.12253,0.115427,0.107862,0.0831103,0.0887515,0.0956942,0.113155,0.121682,0.118899,0.120244,0.12118,1
"8",8,"ALEX.8.8",1,"ALEX.8",8,"ALEX",0.727273,0.81687,0.692138,0.604589,0.583245,0.578141,0.518987,0.450036,0.432918,0.419391,0.418789,0.0316206,0.0199778,0.169931,0.201785,0.16656,0.139746,0.131426,0.128266,0.139998,0.141622,0.132298,1
"9",9,"ALEX.9.9",2,"ALEX.9",9,"ALEX",0.83004,0.796892,0.730207,0.625749,0.552761,0.521077,0.480918,0.459249,0.441499,0.417722,0.39443,0.0474308,0.0133185,0.0187586,0.0256214,0.0626732,0.0972304,0.100105,0.0936228,0.0928352,0.0934763,0.0987158,1
"10",10,"ALVIN.1.1",2,"ALVIN.1",1,"ALVIN",0.743083,0.582686,0.537931,0.575143,0.609181,0.642977,0.658083,0.658314,0.664031,0.680353,0.680612,0,0,0.0204138,0.0215424,0.0142116,0.0171238,0.0238088,0.0340848,0.0406198,0.0443401,0.0505793,1
