,NestBox,Plot,latitude,longitude,CatchDate,CatchMonth,Season,coords.x1,coords.x2,Occur,CatchYear,B1,B2,B3,B4,B5,NDVI,Elevation,Slope,Aspect,NDVItext,Dist_to_path
194,1001,10,47.96362,11.15713,1/15/2013 12:00,1,1,661021.4116,5314508.553,0,2013,41,30,21,106,47,0.669291339,20.44511948,0.013281573,4.221605919,5.64E-06,0
195,1002,10,47.96365,11.15654,1/15/2013 12:00,1,1,660977.2793,5314510.655,0,2013,40,31,21,98,46,0.647058824,20.00000001,0.009412893,2.946116247,3.58E-06,0
886,1002,10,47.96365,11.15654,5/13/2013 12:00,5,0,660977.2793,5314510.655,0,2013,40,31,21,98,46,0.647058824,20.00000001,0.009412893,2.946116247,3.58E-06,0
196,1003,10,47.96354,11.15592,1/15/2013 12:00,1,1,660931.3428,5314497.136,0,2013,40,31,22,115,54,0.678832117,20.00000001,0.008365227,4.336329897,3.74E-06,42.42640687
887,1004,10,47.96304,11.15579,5/13/2013 12:00,5,0,660923.1928,5314441.296,0,2013,41,31,22,110,54,0.666666667,19.98226888,0.007825516,2.40439223,2.48E-05,0
197,1005,10,47.96299,11.15663,1/15/2013 12:00,1,1,660986.0487,5314437.493,0,2013,40,29,21,99,47,0.65,20.70273391,0.01694186,3.871143259,1.61E-05,0
888,1005,10,47.96299,11.15663,5/13/2013 12:00,5,0,660986.0487,5314437.493,0,2013,40,29,21,99,47,0.65,20.70273391,0.01694186,3.871143259,1.61E-05,0
198,1006,10,47.96296,11.1572,1/15/2013 12:00,1,1,661028.6887,5314435.349,0,2013,40,30,20,111,52,0.694656489,20.49245164,0.005136853,3.380041301,4.11E-06,30
199,1008,10,47.96254,11.15791,1/15/2013 12:00,1,1,661082.9919,5314390.154,0,2013,41,31,22,126,58,0.702702703,20.99999999,0.003920796,1.424856547,1.20E-06,84.85281374
889,1008,10,47.96254,11.15791,5/13/2013 12:00,5,0,661082.9919,5314390.154,0,2013,41,31,22,126,58,0.702702703,20.99999999,0.003920796,1.424856547,1.20E-06,84.85281374
200,1009,10,47.96243,11.15723,1/15/2013 12:00,1,1,661032.5759,5314376.509,0,2013,40,31,22,108,51,0.661538462,19.42665969,0.028150956,4.483322502,5.78E-06,30
890,1009,10,47.96243,11.15723,5/13/2013 12:00,5,0,661032.5759,5314376.509,0,2013,40,31,22,108,51,0.661538462,19.42665969,0.028150956,4.483322502,5.78E-06,30
201,1010,10,47.96261,11.15664,1/15/2013 12:00,1,1,660987.9763,5314395.281,0,2013,41,30,21,98,45,0.647058824,19.03719599,0.027259243,3.757873794,1.65E-05,0
891,1010,10,47.96261,11.15664,5/13/2013 12:00,5,0,660987.9763,5314395.281,0,2013,41,30,21,98,45,0.647058824,19.03719599,0.027259243,3.757873794,1.65E-05,0
892,1011,10,47.96257,11.1558,5/13/2013 12:00,5,0,660925.3997,5314389.083,0,2013,39,30,21,96,44,0.641025641,19,0.01796335,1.953347666,7.60E-06,0
202,1013,10,47.96246,11.15452,1/15/2013 12:00,1,1,660830.1969,5314374.187,0,2013,39,29,20,88,41,0.62962963,20,4.39E-17,1.892546881,1.79E-05,30
893,1013,10,47.96246,11.15452,5/13/2013 12:00,5,0,660830.1969,5314374.187,0,2013,39,29,20,88,41,0.62962963,20,4.39E-17,1.892546881,1.79E-05,30
203,1014,10,47.96208,11.15397,1/15/2013 12:00,1,1,660790.3223,5314330.808,0,2013,39,28,20,69,30,0.550561798,19.96755061,0.008573808,5.568091405,6.58E-06,30
894,1015,10,47.96216,11.15463,5/23/2013 12:00,5,0,660839.3394,5314341.075,0,2013,38,28,21,76,34,0.567010309,20,3.88E-11,2.356192974,1.34E-05,30
204,1016,10,47.96221,11.15517,1/15/2013 12:00,1,1,660879.4922,5314347.759,0,2013,39,28,20,78,37,0.591836735,20,0.003187622,2.356194423,7.53E-06,0
895,1016,10,47.96221,11.15517,5/23/2013 12:00,5,0,660879.4922,5314347.759,0,2013,39,28,20,78,37,0.591836735,20,0.003187622,2.356194423,7.53E-06,0
205,1017,10,47.96206,11.15589,1/15/2013 12:00,1,1,660933.7023,5314332.591,0,2013,39,30,22,95,45,0.623931624,19,0.010215944,1.785536043,4.63E-06,30
896,1017,10,47.96206,11.15589,5/23/2013 12:00,5,0,660933.7023,5314332.591,0,2013,39,30,22,95,45,0.623931624,19,0.010215944,1.785536043,4.63E-06,30
206,1018,10,47.96212,11.1564,1/15/2013 12:00,1,1,660971.5847,5314340.323,0,2013,41,30,21,94,47,0.634782609,19,6.12E-11,4.349276922,8.00E-07,30
897,1018,10,47.96212,11.1564,5/23/2013 12:00,5,0,660971.5847,5314340.323,0,2013,41,30,21,94,47,0.634782609,19,6.12E-11,4.349276922,8.00E-07,30
207,1019,10,47.96217,11.15721,1/15/2013 12:00,1,1,661031.8914,5314347.571,0,2013,40,30,21,111,54,0.681818182,19.34812579,0.026358806,4.388991484,7.05E-06,30
898,1019,10,47.96217,11.15721,5/23/2013 12:00,5,0,661031.8914,5314347.571,0,2013,40,30,21,111,54,0.681818182,19.34812579,0.026358806,4.388991484,7.05E-06,30
208,1020,10,47.96222,11.15786,1/15/2013 12:00,1,1,661080.2549,5314354.486,0,2013,40,31,23,128,59,0.695364238,20.99999999,0.002873094,3.145210494,2.74E-06,67.08203932
899,1020,10,47.96222,11.15786,5/23/2013 12:00,5,0,661080.2549,5314354.486,0,2013,40,31,23,128,59,0.695364238,20.99999999,0.002873094,3.145210494,2.74E-06,67.08203932
209,1021,10,47.96167,11.15764,1/15/2013 12:00,1,1,661065.5435,5314292.901,0,2013,39,31,22,116,57,0.68115942,19.98131128,0.026682267,3.985162907,1.88E-06,60
900,1021,10,47.96167,11.15764,5/23/2013 12:00,5,0,661065.5435,5314292.901,0,2013,39,31,22,116,57,0.68115942,19.98131128,0.026682267,3.985162907,1.88E-06,60
210,1022,10,47.96165,11.15725,1/15/2013 12:00,1,1,661036.494,5314289.864,0,2013,41,31,21,114,54,0.688888889,19.00000001,0.021725465,4.228000475,6.54E-07,30
901,1022,10,47.96165,11.15725,5/23/2013 12:00,5,0,661036.494,5314289.864,0,2013,41,31,21,114,54,0.688888889,19.00000001,0.021725465,4.228000475,6.54E-07,30
